Elodea densa
Musculista senhousia
Anoplolepis gracilipes
Alternanthera philoxeroides
Sargassum muticum
Hydrilla
Chauvinia chilensis
Zaprionus tuberculatus
Salvinia minima
Chrysemys elegans
Osteopilus septentrionalis
Anisantha tectorum
Mytilopsis sallei
Adenanthera falcataria
Doria dumetorum
Phytophthora cinnamomi
Lygodium microphyllum
Rhamnus cathartica
Aegilops squarrosa
Arion ater
Acantholyda erythrocephala
Arion vulgaris
Lonicera maackii
Pterois
Bocconia frutescens
Sixalix atropurpurea
Cephalopholis argus
Acanthogobius flavimanus
Chrysanthemoides monilifera
Vaginulus occidentalis
